"Create a policy binding that grants the Viewer and Editor roles to the user john.doe@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  }\n]"
"Create a policy binding to give the user john.doe@example.com the Viewer role and the user jane.smith@example.com the Editor role for the project","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:jane.smith@example.com""\n    ]\n  }\n]"
"Create a policy binding that assigns the roles of Viewer and Editor to the user with the email address user@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Editor role to a specific user and a custom role to a group of users","""bindings"": [\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:alice@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/customRole"",\n    ""members"": [\n      ""group:dev-team@example.com"",\n      ""group:qa-team@example.com""\n    ]\n  }\n]"
"Create a policy binding that allows an engineer and a project manager to have viewer access to the project","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:engineer@example.com"",\n      ""user:manager@example.com""\n    ]\n  }\n]"
"Create a policy binding to give the user john.doe@example.com the roles of viewer and editor on the project","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  }\n]"
"Create a policy binding to grant the roles of viewer and editor to the user with the email user@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"
"Create a policy binding to grant the role of viewer to the user with the email john.doe@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the DevOps team the roles of Viewer and Editor on the project","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:devops1@example.com"",\n      ""user:devops2@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:devops1@example.com"",\n      ""user:devops2@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Editor role to the user john.doe@example.com and the Viewer role to the user jane.smith@example.com","""bindings"": [\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:jane.smith@example.com""\n    ]\n  }\n]"
"Create a policy binding that allows a specific user and a group to have viewer and editor access to a project.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:alice@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""group:dev-team@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Viewer and Editor roles to the user with the email user@example.com.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the user with email user@example.com the roles of Viewer and Editor on the project.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"
"Create a policy binding to grant the Viewer role to the user with the email user@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"  
"Generate a policy binding that will assign the Editor role to the user jane.doe@example.com and the Compute Instance Admin role to the user john.smith@example.com","""bindings"": [\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:jane.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/compute.instanceAdmin"",\n    ""members"": [\n      ""user:john.smith@example.com""\n    ]\n  }\n]"  
"Create a policy binding to grant the Storage Object Viewer role to the group team@example.com and the Pub/Sub Publisher role to the service account service-account@project.iam.gserviceaccount.com","""bindings"": [\n  {\n    ""role"": ""roles/storage.objectViewer"",\n    ""members"": [\n      ""group:team@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/pubsub.publisher"",\n    ""members"": [\n      ""serviceAccount:service-account@project.iam.gserviceaccount.com""\n    ]\n  }\n]"  
"Generate a policy binding to assign the Owner role to the user admin@example.com and the BigQuery Data Viewer role to two members: user1@example.com and user2@example.com","""bindings"": [\n  {\n    ""role"": ""roles/owner"",\n    ""members"": [\n      ""user:admin@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/bigquery.dataViewer"",\n    ""members"": [\n      ""user:user1@example.com"",\n      ""user:user2@example.com""\n    ]\n  }\n]"  
